text,label,label_name,split,dataset
I purchased Stargate continium and when I received it they sent me Steel magnolias instead I have contacted the company 3 times anf=d after 3 weeks I have heard nothing I will not purchasing anything through Amazon again or its partners,0,Negative,train,amazon
"This is an expensive machine and the coffee was not hot enough when you added milk. In addition, my travel mug was too large for this machine and would need two of the K-cups to make a stong enough mug of coffee. Also, the used K-cups are not recyclable and at $20+ for a pound of coffee it is too costly for the sake of convenience. I brought it back to where I got it after three days.",0,Negative,train,amazon
"I preface my remarks by saying that as a foreigner and as a citizen of a pathologically 'neutral', state I have no first hand or cultural knowledge of what it must have been like to live through a War as catastrophic as World War II. However, part of my motivation in reading this book was to get a greater sense of the 'home front' aspects of war and since I like Mr. Brokaw's tabloid style of journalism I felt I was on to a winner. Although eminently readable as expected, there was, after Chapter 3 or so, a ",0,Negative,train,amazon
"Yeah, let one of 'em spend a day with Ted Bundy... let's see how damn tough they act after such an experience. Stupid women.",0,Negative,train,amazon
Prospective purchasers should note that this dvd is the dubbed version where American actors replace the Australian actors on the soundtrack. I understand that the decision to overdub the part was done when the movie was first released in the US (an Australian friend recalled his shock at the dubbing when he saw it in a US cinema at the time) but I would have thought that the studio could have dug up the original Australian version and released that instead. Because of this irritating and pointless feature ,0,Negative,train,amazon
"This item was not in acceptable condition. The screen was broken. I E-Mailed the seller with no response. This person stuck us with a broken item. If I could give it no stars, I would.",0,Negative,train,amazon
"I was excited to begin this book, as I had read ""The Bone Collector"" and loved it. After I got into ""A Maiden's Grave"" I found myself searching for any periodical to read to avoid finishing ""Grave"". Deaver does a great job with narrative, making you feel as if you were there. The problem was that the plot dragged on and on. I felt like shouting ""let's be done with this, already!"" There also seemed to be a sense of hopelessness that pervaded the storyline - that doesn't make for enjoyable reading.",0,Negative,train,amazon
"This is a 1954 film, so I'm rating it as such. The special effects are third rate, the robot is a joke, *but* the acting really is first-class. I like old sci-fi flicks, and I try to view them as if I were a kid of that time period (which I was). Although I would have enjoyed this film in 1954, it definitely is not one of my favorites. Not the worst film, but I wouldn't recommend it. I gave it four stars because the actors really do a great job, in spite of everything else.",1,Positive,train,amazon
"I've been using this ink in a Lamy Fountain pen (fine nib) for a few months. I'm generally happy with it, and find that it writes smoothly and very rarely smears (I'm left-handed). It's a large, 3 oz bottle and I imagine it'll last me at least a few years, and I write with it most work days. When I exhaust this bottle I'll likely buy another one.",1,Positive,train,amazon
"It's disappointing to say the least. I'm not sure what Suzzette Phillips is talking about in her review, but on my version the classic album rumors isn't on my dvd. (And nowhere on the disc or packaging does it say the album is contained on the disc. Possibly, there are two versions? Anyway, 75 minutes of interviews about each song, and vintage footage each lasting about 15 to 30 seconds. Nothing new is on here that you haven't seen on any other documentary. It would be great if they played the vintage live",0,Negative,train,amazon
