text,label,label_name,split,dataset
"Syria ready to resume Israeli talks #39;without conditions #39;: UN envoy DAMASCUS (AFP) - Syrian President Bashar al-Assad has said he is ready to reopen negotiations with Israel quot;without conditions, quot; visiting UN Middle East envoy Terje Roed-Larsen revealed.",0,World,train,ag_news
"Detainees fight British anti-terrorism law Nine Muslims held indefinitely without charge in Britain are challenging the country #39;s highest court against their detention. The nine are among 11 foreign men held under the Anti Terrorism, Crime and Security",0,World,train,ag_news
"Palestinians to See Arafat Despite Wife's Fury PARIS (Reuters) - Palestinian leaders headed for Paris on Monday to see critically ill President Yasser Arafat at a French military hospital despite a scathing attack by his wife who accused them of plotting to ""bury him alive.""",0,World,train,ag_news
Kim Yong-nam arrives in Beijing North Korea #39;s top legislator Kim Yong-nam has arrived in Beijing for a three-day official visit to China. Talks with Chinese leaders on the stalled six-party negotiations on,0,World,train,ag_news
"More tigers die of suspected bird flu at Thai zoo after eating raw &lt;b&gt;...&lt;/b&gt; Seven more tigers have died at a private zoo in Thailand where 23 others succumbed to bird flu, an official said Wednesday. In addition to the 30 tigers who have died, 23 others remain",0,World,train,ag_news
"Attacks in Russia Expose Rifts With West MOSCOW - The fight against terror was supposed to unite Russia and the West, pounding the last nail into the coffin of the Cold War. But three years after the Sept...",0,World,train,ag_news
"Away From Home and Family, a Slice of Tradition For U.S. soldiers in Iraq celebrating Thanksgiving away from their families, the day's events showed some traditions can be transplanted, even to the palm groves and farm fields near Baqubah.",0,World,train,ag_news
"Oracle moves to monthly patching schedule After coming under criticism for sitting on patches for multiple holes in its database software, Oracle has announced that it will move to a monthly patch release schedule, though it hasn't said when.",3,Sci/Tech,train,ag_news
"NASA: Bush Stifles Global Warming Evidence President Bush arrives off of Marine One on the South Lawn of the White House after a day of campaigning, Tuesday, Oct. 26, 2004, in Washington.",3,Sci/Tech,train,ag_news
"India fires nuclear-ready missile INDIA today tested a short-range ballistic missile capable of carrying a nuclear warhead off its eastern coast, defence sources said.",0,World,train,ag_news
Stocks sent sliding on rash of bad news US stocks fell sharply as record oil prices and disappointing sales forecasts from Microsoft Corp. spurred losses in technology shares.,2,Business,train,ag_news
"Economists: Mortgage rates will help sustain home demand despite &lt;b&gt;...&lt;/b&gt; US home prices at record levels don #39;t signal a national price #39; #39;bubble #39; #39; because low mortgage rates and prospects for improved job growth will help sustain demand, housing-industry economists said.",2,Business,train,ag_news
"Venezuelan Car-Bomb Suspect Killed, Weapons Found &lt;p&gt;&lt;/p&gt;&lt;p&gt; By Patrick Markey&lt;/p&gt;&lt;p&gt; CARACAS, Venezuela (Reuters) - A Venezuelan lawyersuspected in last week's bombing murder of a top stateprosecutor was killed in a gunfight with police on Tuesdayafter he tried to ram detectives with his car and opened fireon them, officials said.&lt;/p&gt;",0,World,train,ag_news
"Haiti Storm Death Toll Could Reach 2,000 GONAIVES, Haiti Sept. 23, 2004 - Workers dug new mass graves for corpses that still littered this flood-ravaged city Thursday as the death toll from Tropical Storm Jeanne rose to more than 1,070 and residents",0,World,train,ag_news
"More than 900,000 volunteers begin war on bird flu in Thailand BANGKOK : Thailand launched its month-long war on bird flu with more than 900,000 volunteers carrying out house-to-house checks for signs of the disease, a senior health official said.",0,World,train,ag_news
"Bush Follows Debate With Attack on Kerry CLEVELAND - President Bush offered a sharp if familiar critique of his rivals on Wednesday, picking up where Dick Cheney left off in the vice presidential debate while defending the war in Iraq and their economic policies. Democratic vice presidential candidate John Edwards responded by calling the president ""completely out of touch with reality."" Bush assailed Democratic presidential candidate John Kerry as he usually does in campaign appearances, accusing the Massa",0,World,train,ag_news
"Sony releases home server that stores 1 terrabyte Sony #39;s Vaio Type X, which is available only in Japan, is a new home server that contains four 250GB hard drives: two for PC files and the other ones for audiovisual materials such as stored TV programs and music.",3,Sci/Tech,train,ag_news
Time running out for class of 1996 Some things never change. Manchester City are still looking for their first win at Old Trafford in three decades. Kevin Keegan is still moved to tears whenever he encounters Sir Alex Ferguson and Alan Smith,1,Sports,train,ag_news
