text,label,label_name,split,dataset
pretty funny movie,1,Positive,train,sst2
see a movie that takes such a speedy swan dive from `` promising '' to `` interesting '' to `` familiar '',0,Negative,train,sst2
fudged opportunity,0,Negative,train,sst2
"deeply biased , and wholly designed to make you feel guilty about ignoring what the filmmakers clearly believe",0,Negative,train,sst2
is as delightful as it is derivative,1,Positive,train,sst2
"it 's definitely not made for kids or their parents , for that matter ,",0,Negative,train,sst2
is like scorsese 's mean streets redone by someone who ignored it in favor of old ` juvenile delinquent ' paperbacks with titles like leather warriors and switchblade sexpot .,0,Negative,train,sst2
hurts to watch,0,Negative,train,sst2
looking down at your watch and realizing serving sara is n't even halfway through,0,Negative,train,sst2
hate,0,Negative,train,sst2
found myself strangely moved by even the corniest and most hackneyed contrivances,1,Positive,train,sst2
"a dim-witted and lazy spin-off of the animal planet documentary series , crocodile hunter is entertainment opportunism at its most glaring .",0,Negative,train,sst2
achieves its emotional power and moments of revelation with restraint and a delicate ambiguity .,1,Positive,train,sst2
pointless meditation on losers in a gone-to-seed hotel .,0,Negative,train,sst2
"crass , low-wattage",0,Negative,train,sst2
"because both are just actory concoctions , defined by childlike dimness and a handful of quirks",0,Negative,train,sst2
"is what it is -- a nice , harmless date film ...",1,Positive,train,sst2
very well-written and very well-acted .,1,Positive,train,sst2
that may not always work,0,Negative,train,sst2
a gentle and engrossing character,1,Positive,train,sst2
the viewer wide-awake all the way through,1,Positive,train,sst2
"it 's a quirky , off-beat project .",1,Positive,train,sst2
puts wang at the forefront of china 's sixth generation of film makers .,1,Positive,train,sst2
vivid characters and,1,Positive,train,sst2
spy is still fun and enjoyable and so aggressively silly that it 's more than a worthwhile effort .,1,Positive,train,sst2
's hard to imagine acting that could be any flatter .,0,Negative,train,sst2
a pair of fascinating performances,1,Positive,train,sst2
are simply too bland to be interesting .,0,Negative,train,sst2
"it 's light on the chills and heavy on the atmospheric weirdness , and there are moments of jaw-droppingly odd behavior",0,Negative,train,sst2
than its sunny disposition,1,Positive,train,sst2
"caruso takes an atypically hypnotic approach to a world that 's often handled in fast-edit , hopped-up fashion",1,Positive,train,sst2
creepy atmosphere,0,Negative,train,sst2
a documentary that works,1,Positive,train,sst2
` it 's just a kids ' flick,0,Negative,train,sst2
such a wildly uneven hit-and-miss enterprise,0,Negative,train,sst2
straightforward and old-fashioned,1,Positive,train,sst2
may cause parents a few sleepless hours -- a sign of its effectiveness,1,Positive,train,sst2
is a film that takes a stand in favor of tradition and warmth,1,Positive,train,sst2
slap her - she 's not funny,0,Negative,train,sst2
the characters are based on stock clichés,0,Negative,train,sst2
"tells a sweet , charming tale of intergalactic friendship",1,Positive,train,sst2
